Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
317;16241;"Journal of Law and Society";journal;"14676478, 0263323X";0,260;Q2;53;41;113;0;112;109;0,90;0,00;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1983, 1985, 1988, 1991-1993, 1996-2022";"Law (Q2); Sociology and Political Science (Q3)";"Social Sciences"
318;19700194007;"African Security Review";journal;"21540128, 10246029";0,259;Q2;13;35;73;1677;66;61;0,96;47,91;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995, 2010-2022";"Law (Q2); Political Science and International Relations (Q2); Safety Research (Q3)";"Social Sciences"
319;21100898972;"Somatechnics";journal;"20440146, 20440138";0,259;Q2;14;12;67;395;52;54;0,85;32,92;United Kingdom;Western Europe;"Edinburgh University Press";"2011-2022";"Arts and Humanities (miscellaneous) (Q2); Law (Q2); Anatomy (Q3); Human Factors and Ergonomics (Q3); Sociology and Political Science (Q3); Human-Computer Interaction (Q4)";"Arts and Humanities; Computer Science; Medicine; Social Sciences"
320;21100316000;"Journal of World Intellectual Property";journal;"14222213, 17471796";0,257;Q2;12;43;82;65;67;76;0,69;1,51;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2002-2004, 2013-2022";"Law (Q2)";"Social Sciences"
321;17568;"Law and Philosophy";journal;"15730522, 01675249";0,257;Q2;35;43;72;1;42;71;0,67;0,02;Netherlands;Western Europe;"Springer Netherlands";"1982-2022";"Law (Q2); Philosophy (Q2)";"Arts and Humanities; Social Sciences"
322;21100784265;"Ius Canonicum";journal;"0021325X, 22546219";0,256;Q2;6;30;75;1143;33;75;0,51;38,10;Spain;Western Europe;"Servicio de Publicaciones de la Universidad De Navarra";"2016-2022";"Religious Studies (Q1); Law (Q2)";"Arts and Humanities; Social Sciences"
323;5600152936;"Crime Prevention and Community Safety";journal;"17434629, 14603780";0,255;Q2;25;23;69;1181;71;67;0,89;51,35;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1999-2022";"Law (Q2); Safety Research (Q3); Sociology and Political Science (Q3)";"Social Sciences"
324;16149;"Medical Law International";journal;"20479441, 09685332";0,255;Q2;12;16;49;29;53;44;1,15;1,81;United Kingdom;Western Europe;"SAGE Publications Inc.";"1993-2022";"Law (Q2); Medicine (miscellaneous) (Q3)";"Medicine; Social Sciences"
325;21101027250;"Revista Chilena de Derecho Privado";journal;"07180233, 07188072";0,255;Q2;3;10;89;458;18;78;0,15;45,80;Chile;Latin America;"Universidad Diego Portales";"2019-2022";"Law (Q2)";"Social Sciences"
326;19700171309;"Studies in Social Justice";journal;"19114788";0,255;Q2;18;40;84;1833;69;83;0,76;45,83;Canada;Northern America;"Centre for Studies in Social Justice, University of Windsor";"2009-2022";"Law (Q2); Gender Studies (Q3); Sociology and Political Science (Q3)";"Social Sciences"
327;15517;"Maastricht Journal of European and Comparative Law";journal;"1023263X, 23995548";0,252;Q2;21;39;149;0;109;132;0,57;0,00;United Kingdom;Western Europe;"SAGE Publications Ltd";"1994-2022";"Law (Q2); Political Science and International Relations (Q2)";"Social Sciences"
328;25650;"Columbia Journal of Transnational Law";journal;"00101931";0,251;Q2;34;10;44;2097;25;43;0,53;209,70;United States;Northern America;"Columbia Law Review Association";"1996-2022";"Law (Q2); Political Science and International Relations (Q2)";"Social Sciences"
329;21100375851;"Anuario de Psicologia Juridica";journal;"11330740, 21740542";0,250;Q2;12;13;38;894;48;38;1,27;68,77;Spain;Western Europe;"Colegio Oficial de Psicologos de Madrid";"2013-2022";"Law (Q2); Applied Psychology (Q3); Pathology and Forensic Medicine (Q3)";"Medicine; Psychology; Social Sciences"
330;28955;"Justice System Journal";journal;"0098261X";0,250;Q2;23;43;74;2018;38;56;0,39;46,93;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1988, 1990-1991, 1993-2022";"Law (Q2)";"Social Sciences"
331;21101039257;"Revista Brasileira de Estudos Politicos";journal;"23595736, 00347191";0,249;Q2;3;28;87;1186;25;84;0,29;42,36;Brazil;Latin America;"Universidade Federal de Minas Gerais, Faculdade de Letras";"2020-2022";"Law (Q2); Sociology and Political Science (Q3)";"Social Sciences"
332;21101043579;"Annals of Corporate Governance";journal;"23816732, 23816724";0,247;Q2;2;1;6;128;4;6;0,67;128,00;United States;Northern America;"Now Publishers Inc";"2020-2022";"Law (Q2); Business, Management and Accounting (miscellaneous) (Q3); Finance (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
333;21100242411;"International Journal of Law in Context";journal;"17445531, 17445523";0,246;Q2;23;33;109;1798;120;106;0,65;54,48;United Kingdom;Western Europe;"Cambridge University Press";"2005-2022";"Law (Q2)";"Social Sciences"
334;12365;"Canadian Journal of Law and Society";journal;"08293201, 19110227";0,245;Q2;24;21;78;987;56;75;0,59;47,00;United Kingdom;Western Europe;"Cambridge University Press";"1986-2022";"Law (Q2); Sociology and Political Science (Q3)";"Social Sciences"
335;20600195510;"Journal of Aggression, Conflict and Peace Research";journal;"20428715, 17596599";0,245;Q2;19;44;64;2020;70;62;0,95;45,91;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2009-2022";"Law (Q2); Health (social science) (Q3); Sociology and Political Science (Q3); Social Psychology (Q4)";"Psychology; Social Sciences"
336;21600;"Studies in East European Thought";journal;"15730948, 09259392";0,245;Q2;12;67;86;1989;22;77;0,33;29,69;Netherlands;Western Europe;"Springer Netherlands";"1993-2022";"Cultural Studies (Q1); Literature and Literary Theory (Q1); Law (Q2); Philosophy (Q2); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
337;21100370222;"Griffith Law Review";journal;"18394205, 10383441";0,243;Q2;19;24;81;1934;56;75;0,71;80,58;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2003-2006, 2008-2022";"Law (Q2)";"Social Sciences"
338;12600154734;"International Journal of Electronic Security and Digital Forensics";journal;"17519128, 1751911X";0,243;Q2;16;36;85;1266;100;85;1,17;35,17;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2007-2010, 2012-2022";"Law (Q2); Computer Networks and Communications (Q3); Safety, Risk, Reliability and Quality (Q3)";"Computer Science; Engineering; Social Sciences"
339;21100937573;"Journal of Intellectual Property Law and Practice";journal;"17471540, 17471532";0,243;Q2;13;117;504;4672;105;466;0,25;39,93;United States;Northern America;"Oxford University Press";"2005-2022";"Law (Q2)";"Social Sciences"
340;6000152910;"Journal of Arts Management Law and Society";journal;"10632921, 19307799";0,242;Q2;22;21;76;953;64;74;0,74;45,38;United States;Northern America;"Taylor and Francis Ltd.";"1992-2022";"Visual Arts and Performing Arts (Q1); Law (Q2); Strategy and Management (Q3)";"Arts and Humanities; Business, Management and Accounting; Social Sciences"
341;21100886395;"Journal of International Dispute Settlement";journal;"20403585, 20403593";0,242;Q2;21;15;87;1552;37;86;0,40;103,47;United Kingdom;Western Europe;"Oxford University Press";"2010-2022";"Law (Q2); Political Science and International Relations (Q3)";"Social Sciences"
342;21100239827;"Monatsschrift fur Kriminologie und Strafrechtsreform";journal;"00269301";0,242;Q2;10;21;74;1100;36;70;0,54;52,38;Germany;Western Europe;"Carl Heymanns Verlag KG";"2010-2022";"Law (Q2)";"Social Sciences"
343;21100244950;"Rassegna Italiana di Criminologia";journal;"11211717, 22408053";0,242;Q2;10;31;105;1474;61;103;0,57;47,55;Italy;Western Europe;"Giuffre Editore SpA";"2013-2022";"Law (Q2)";"Social Sciences"
344;21100291842;"Revus";journal;"18557112, 15817652";0,242;Q2;8;32;72;1127;16;72;0,22;35,22;Slovenia;Eastern Europe;"Revus Klub";"2013-2022";"Law (Q2); Philosophy (Q2)";"Arts and Humanities; Social Sciences"
345;21100865909;"Intertax";journal;"18758347, 01652826";0,241;Q2;8;83;322;5676;92;280;0,31;68,39;Netherlands;Western Europe;"Kluwer Law International";"2018-2022";"Law (Q2); Accounting (Q3)";"Business, Management and Accounting; Social Sciences"
346;21100803316;"Valori e Valutazioni";journal;"20362404";0,241;Q2;14;17;91;740;106;81;1,13;43,53;Italy;Western Europe;"Societa Italiana di Estimo e Valutazione (SIEV)";"2016-2022";"Law (Q2); Decision Sciences (miscellaneous) (Q3); Finance (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
347;7200153135;"Forensische Psychiatrie, Psychologie, Kriminologie";journal;"18627072, 18627080";0,240;Q2;15;41;149;1268;87;111;0,69;30,93;Germany;Western Europe;"Springer Verlag";"2007-2022";"Law (Q2); Applied Psychology (Q4); Psychiatry and Mental Health (Q4)";"Medicine; Psychology; Social Sciences"
348;21100862232;"Intersections East European Journal of Society and Politics";journal;"2416089X";0,240;Q2;12;48;108;1923;61;107;0,51;40,06;Hungary;Eastern Europe;"Centre for Social Sciences of the Hungarian Academy of Sciences";"2015-2022";"Law (Q2); Sociology and Political Science (Q3)";"Social Sciences"
349;21100945159;"Journal of Law, Finance, and Accounting";journal;"23805013, 23805005";0,237;Q2;8;4;26;327;15;26;0,78;81,75;United States;Northern America;"Now Publishers Inc";"2016-2022";"Law (Q2); Accounting (Q3); Finance (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
350;21100259507;"International Journal of Public Law and Policy";journal;"20447671, 20447663";0,236;Q2;5;29;35;1292;36;34;1,04;44,55;Switzerland;Western Europe;"Inderscience Publishers";"2011-2017, 2019-2022";"Law (Q2); Sociology and Political Science (Q3)";"Social Sciences"
351;4100151521;"Studies in Law Politics and Society";book series;"10594337";0,236;Q2;10;0;56;0;21;8;0,07;0,00;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2003-2008, 2013-2021";"Law (Q2); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Social Sciences"
352;21100421902;"Iberoamerican Journal of Development Studies";journal;"22542035";0,235;Q2;7;25;64;1194;46;64;0,51;47,76;Spain;Western Europe;"Universidad de Zaragoza";"2012-2022";"History (Q1); Law (Q2); Development (Q3); Geography, Planning and Development (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
353;17521;"Law and Contemporary Problems";journal;"00239186";0,235;Q2;40;52;119;5076;48;115;0,37;97,62;United States;Northern America;"Duke University School of Law";"1976, 1979, 1981-1982, 1985-1986, 1988-1989, 1991, 1993-1994, 1996, 2004-2022";"Law (Q2)";"Social Sciences"
354;5600156543;"Netherlands Quarterly of Human Rights";journal;"01693441";0,235;Q2;18;24;67;0;65;56;1,07;0,00;Netherlands;Western Europe;"Stichting Studie- en Informatiecentrum Mensenrechten";"2006-2022";"Law (Q2); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Social Sciences"
355;21100855754;"Australian Journal of Human Rights";journal;"2573573X, 1323238X";0,234;Q2;14;27;99;0;79;91;0,83;0,00;Australia;Pacific Region;"Taylor and Francis Ltd.";"1994, 1996-2022";"History (Q1); Law (Q2); Philosophy (Q2); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
356;200147134;"First Monday";journal;"13960466";0,233;Q2;79;0;27;0;33;27;1,00;0,00;United States;Northern America;"First Monday";"1996-2020";"Law (Q2); Computer Networks and Communications (Q3); Human-Computer Interaction (Q4)";"Computer Science; Social Sciences"
357;21100927374;"Humanity";journal;"21514372, 21514364";0,232;Q2;4;23;63;1275;52;52;0,76;55,43;United States;Northern America;"University of Pennsylvania Press";"2019-2022";"Law (Q2); Sociology and Political Science (Q3)";"Social Sciences"
358;21101048345;"Journal of Territorial and Maritime Studies";journal;"22886834";0,231;Q2;2;12;13;475;8;11;0,62;39,58;United States;Northern America;"McFarland and Company, Inc";"2021-2022";"Law (Q2); Geography, Planning and Development (Q3); Political Science and International Relations (Q3)";"Social Sciences"
359;19900192514;"Dynamics of Asymmetric Conflict: Pathways toward Terrorism and Genocide";journal;"17467594, 17467586";0,230;Q2;15;15;53;790;46;44;0,83;52,67;United Kingdom;Western Europe;"Routledge";"2010-2022";"Cultural Studies (Q2); Law (Q2); Political Science and International Relations (Q3); Sociology and Political Science (Q3); Social Psychology (Q4)";"Psychology; Social Sciences"
360;21100218074;"International Journal of Cyber Criminology";journal;"09742891";0,230;Q2;20;16;73;787;117;73;1,50;49,19;India;Asiatic Region;"";"2012-2021";"Law (Q2)";"Social Sciences"
361;25818;"International Journal of Refugee Law";journal;"14643715, 09538186";0,230;Q2;36;7;105;252;102;100;0,59;36,00;United Kingdom;Western Europe;"Oxford University Press";"1989-2022";"Law (Q2); Demography (Q3); Management, Monitoring, Policy and Law (Q3)";"Environmental Science; Social Sciences"
362;21101093350;"Kriminologie";journal;"26986779";0,230;Q2;4;25;67;1092;31;60;0,49;43,68;Germany;Western Europe;"Universitat zu Koln";"2019-2022";"Cultural Studies (Q2); Law (Q2); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Social Sciences"
363;27253;"Supreme Court Review";book series;"21582459, 00819557";0,230;Q2;18;12;30;0;11;18;0,33;0,00;United States;Northern America;"University of Chicago";"1992, 1997, 1999-2003, 2005-2011, 2013, 2015-2022";"Law (Q2)";"Social Sciences"
364;21101064911;"Ocean Yearbook Online";journal;"22116001";0,228;Q2;10;28;68;1259;40;66;0,26;44,96;Netherlands;Western Europe;"Brill Academic Publishers";"2011-2022";"Law (Q2)";"Social Sciences"
365;21101037295;"Studia Iuridica Lublinensia";journal;"17316375, 24498289";0,228;Q2;5;74;235;2925;81;233;0,34;39,53;Poland;Eastern Europe;"";"2020-2022";"Law (Q2); Public Administration (Q3)";"Social Sciences"
366;21100935115;"Revista Direito GV";journal;"23176172";0,227;Q2;4;38;116;1650;30;112;0,23;43,42;Brazil;Latin America;"Fundacao Getulio Vargas, Escola de Direito de Sao Paulo";"2019-2022";"Law (Q2)";"Social Sciences"
367;21100407655;"Banks and Bank Systems";journal;"19917074, 18167403";0,226;Q2;19;69;217;2966;266;217;1,31;42,99;Ukraine;Eastern Europe;"Business Perspectives";"2006-2022";"Law (Q2); Business, Management and Accounting (miscellaneous) (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Finance (Q3); Management of Technology and Innovation (Q3); Marketing (Q3); Organizational Behavior and Human Resource Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
368;21100977380;"Cambridge International Law Journal";journal;"23989173, 23989181";0,226;Q2;12;14;46;185;25;40;0,27;13,21;United Kingdom;Western Europe;"Edward Elgar Publishing Ltd.";"2012-2022";"Law (Q2)";"Social Sciences"
369;19400156803;"Journal of Human Security";journal;"18353800";0,225;Q2;9;8;38;515;36;34;0,81;64,38;Switzerland;Western Europe;"Librello publishing house";"2009-2011, 2013-2017, 2019-2022";"Law (Q2); Political Science and International Relations (Q3); Safety Research (Q3); Sociology and Political Science (Q3)";"Social Sciences"
370;17600155342;"Lex Localis";journal;"1855363X, 15815374";0,225;Q2;17;51;152;2708;114;152;0,53;53,10;Slovenia;Eastern Europe;"";"2009-2022";"Law (Q2); Public Administration (Q3)";"Social Sciences"
371;21100840720;"Transactions on Maritime Science";journal;"18483305, 18483313";0,225;Q2;8;47;108;1811;106;99;0,90;38,53;Croatia;Eastern Europe;"Faculty of Maritime Studies";"2017-2022";"Law (Q2); Automotive Engineering (Q3); Ocean Engineering (Q3); Transportation (Q4); Water Science and Technology (Q4)";"Engineering; Environmental Science; Social Sciences"
372;21101094524;"Journal of Indonesian Legal Studies";journal;"25481592, 25481584";0,224;Q2;3;15;49;722;28;48;0,65;48,13;Indonesia;Asiatic Region;"Universitas Negeri Semarang (UNNES)";"2016-2022";"Law (Q2)";"Social Sciences"
373;24834;"Journal of Value Inquiry";journal;"15730492, 00225363";0,224;Q2;20;69;151;1005;83;138;0,32;14,57;Netherlands;Western Europe;"Springer Netherlands";"1967-2022";"Law (Q2); Philosophy (Q2); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
374;21499;"Environmental Policy and Law";journal;"0378777X";0,223;Q2;14;41;176;1060;56;161;0,39;25,85;Netherlands;Western Europe;"IOS Press BV";"1975-2022";"Law (Q2); Environmental Science (miscellaneous) (Q3); Management, Monitoring, Policy and Law (Q3)";"Environmental Science; Social Sciences"
375;19700175179;"Estudios Constitucionales";journal;"07185200, 07180195";0,223;Q2;13;32;73;1203;28;68;0,42;37,59;Chile;Latin America;"Universidad de Talca";"2009-2022";"Law (Q2); Sociology and Political Science (Q3)";"Social Sciences"
376;5100155067;"Revista de Estudios Historico-Juridicos";journal;"07176260, 07165455";0,223;Q2;6;55;88;1815;16;88;0,15;33,00;Chile;Latin America;"Ediciones Universitarias de Valparaiso";"1997-2021";"History (Q1); Law (Q2)";"Arts and Humanities; Social Sciences"
