Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
313;12683;"American Journal of Jurisprudence";journal;"20496494, 00658995";0,272;Q2;7;11;33;429;25;32;0,89;39,00;United States;Northern America;"University of Notre Dame, Law School";"1973-1975, 1977, 1981, 1987, 1997, 2000, 2016-2020";"Law (Q2)"
314;19600157915;"Journal of Applied Security Research";journal;"19361629, 19361610";0,271;Q2;15;63;85;2693;107;84;1,24;42,75;United Kingdom;Western Europe;"Routledge";"2008-2021";"Law (Q2); Education (Q3); Safety Research (Q3); Safety, Risk, Reliability and Quality (Q3)"
315;21100865931;"EC Tax Review";journal;"09282750, 18758363";0,270;Q2;4;26;113;1494;29;95;0,28;57,46;Netherlands;Western Europe;"Kluwer Law International";"2018-2021";"Law (Q2); Accounting (Q3)"
316;5800191628;"Netherlands International Law Review";journal;"0165070X, 17416191";0,270;Q2;18;19;69;972;42;60;0,63;51,16;Switzerland;Western Europe;"Springer International Publishing AG";"1953, 1955-2021";"Law (Q2)"
317;7100153146;"Review of Central and East European Law";journal;"09259880, 15730352";0,270;Q2;16;17;60;900;25;58;0,20;52,94;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"1975, 1977-1981, 1983-2021";"Classics (Q1); History (Q1); Law (Q2); Philosophy (Q2)"
318;19700171309;"Studies in Social Justice";journal;"19114788";0,270;Q2;16;54;62;2221;60;60;0,57;41,13;Canada;Northern America;"Centre for Studies in Social Justice, University of Windsor";"2009-2021";"Law (Q2); Sociology and Political Science (Q2); Gender Studies (Q3)"
319;21100396512;"International Sports Law Journal";journal;"22135154, 15677559";0,269;Q2;7;27;56;778;56;50;0,92;28,81;United States;Northern America;"Springer Science + Business Media";"2013-2021";"Law (Q2)"
320;5700168058;"European Journal of Crime, Criminal Law and Criminal Justice";journal;"15718174, 09289569";0,267;Q2;18;14;51;518;28;45;0,38;37,00;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"1993-2000, 2002-2021";"Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
321;21100900131;"Terra Economicus";journal;"24104531, 20736606";0,265;Q2;8;36;119;1577;119;119;1,14;43,81;Russian Federation;Eastern Europe;"Southern Federal University";"2018-2021";"History (Q1); Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Economics, Econometrics and Finance (miscellaneous) (Q3)"
322;21100203315;"Anuario Iberoamericano de Justicia Constitucional";journal;"19895585, 11384824";0,264;Q2;4;21;54;638;15;50;0,26;30,38;Spain;Western Europe;"Centro De Estudios Politicos y Constitucionales";"2011-2020";"Law (Q2)"
323;19192;"Natural Resources Journal";journal;"00280739";0,263;Q2;27;13;38;16;29;34;0,96;1,23;United States;Northern America;"University of New Mexico";"1977-2021";"Law (Q2); Environmental Science (miscellaneous) (Q3)"
324;25818;"International Journal of Refugee Law";journal;"14643715, 09538186";0,262;Q2;34;12;97;352;110;92;1,46;29,33;United Kingdom;Western Europe;"Oxford University Press";"1989-2021";"Law (Q2); Demography (Q3); Management, Monitoring, Policy and Law (Q3)"
325;30035;"Administrative Law Review";journal;"00018368";0,261;Q2;29;0;38;0;15;28;0,69;0,00;United States;Northern America;"American Bar Association";"1977, 1988, 1990, 1996-2012, 2016-2019";"Law (Q2); Public Administration (Q3)"
326;17600155342;"Lex Localis";journal;"1855363X, 15815374";0,261;Q2;16;47;153;2247;98;153;0,66;47,81;Slovenia;Eastern Europe;"Institut za Lokalno Samoupravo in Javna Narocila Maribor";"2009-2021";"Law (Q2); Public Administration (Q3)"
327;21100814045;"Journal of Human Rights and the Environment";journal;"17597188, 17597196";0,260;Q2;9;23;46;0;45;38;0,89;0,00;United Kingdom;Western Europe;"Edward Elgar Publishing Ltd.";"2016-2021";"Law (Q2); Sociology and Political Science (Q2); Management, Monitoring, Policy and Law (Q3)"
328;12043;"Interchange";journal;"15731790, 08264805";0,257;Q2;20;33;93;1876;72;89;0,78;56,85;Netherlands;Western Europe;"Springer Netherlands";"1970-2003, 2005-2021";"Arts and Humanities (miscellaneous) (Q2); Law (Q2); Education (Q3); Social Sciences (miscellaneous) (Q3)"
329;27986;"Juvenile and Family Court Journal";journal;"01617109";0,257;Q2;21;18;66;770;40;61;0,51;42,78;United States;Northern America;"Wiley-Blackwell";"1953-1954, 1961-1969, 1971, 1977-2021";"Law (Q2); Social Sciences (miscellaneous) (Q3)"
330;19700173116;"Journal of Children's Services";journal;"17466660";0,255;Q2;23;26;63;1306;69;60;1,17;50,23;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2006-2021";"Law (Q2); Education (Q3); Health (social science) (Q3); Sociology and Political Science (Q3); Developmental and Educational Psychology (Q4)"
331;21100195305;"Law, Probability and Risk";journal;"1470840X, 14708396";0,255;Q2;15;4;54;132;32;51;0,44;33,00;United Kingdom;Western Europe;"Oxford University Press";"2011-2020";"Law (Q2); Philosophy (Q2); Statistics, Probability and Uncertainty (Q4)"
332;21100892908;"PSL Quarterly Review";journal;"20373643, 20373635";0,255;Q2;5;4;57;245;37;57;0,65;61,25;Italy;Western Europe;"Economia Civile";"2018-2021";"Law (Q2); Business, Management and Accounting (miscellaneous) (Q3); Economics and Econometrics (Q3)"
333;21100937573;"Journal of Intellectual Property Law and Practice";journal;"17471540, 17471532";0,254;Q2;11;147;339;4279;115;302;0,32;29,11;United States;Northern America;"Oxford University Press";"2005-2021";"Law (Q2)"
334;16642;"Michigan Law Review";journal;"00262234";0,254;Q2;57;44;99;661;50;67;0,46;15,02;United States;Northern America;"Michigan Law Review Association";"1974-1980, 1982-1983, 1991, 1993-2021";"Law (Q2)"
335;21100847440;"International Journal of Comparative Labour Law and Industrial Relations";journal;"1875838X, 0952617X";0,253;Q2;7;17;61;1584;38;61;0,63;93,18;United Kingdom;Western Europe;"Wolters Kluwer (UK) Ltd.";"2017-2021";"Law (Q2); Industrial Relations (Q3); Organizational Behavior and Human Resource Management (Q3)"
336;7700153101;"International Organizations Law Review";journal;"15723739, 15723747";0,253;Q2;20;13;58;1083;27;57;0,43;83,31;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"2004-2021";"Law (Q2); Political Science and International Relations (Q2); Economics and Econometrics (Q3); Sociology and Political Science (Q3)"
337;21100805791;"Transnational Legal Theory";journal;"20414013, 20414005";0,253;Q2;10;25;66;0;70;64;0,87;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2021";"Law (Q2)"
338;21100253392;"Asian Journal of International Law";journal;"20442521, 20442513";0,252;Q2;12;20;61;1315;34;60;0,30;65,75;United Kingdom;Western Europe;"Cambridge University Press";"2011-2021";"Law (Q2)"
339;21100232428;"International Journal of Law and Management";journal;"1754243X, 17542448";0,252;Q2;20;32;171;1614;257;171;1,65;50,44;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2008-2021";"Law (Q2); Organizational Behavior and Human Resource Management (Q4)"
340;21100200414;"Legal Studies";journal;"1748121X, 02613875";0,252;Q2;25;52;105;2050;90;105;0,89;39,42;United States;Northern America;"Wiley-Blackwell";"1981-2021";"Law (Q2)"
341;21100855986;"Revista de Investigacoes Constitucionais";journal;"23595639";0,251;Q2;8;28;109;1390;92;99;0,47;49,64;Brazil;Latin America;"Universidade Federal do Parana";"2014-2021";"Law (Q2); Sociology and Political Science (Q3)"
342;15517;"Maastricht Journal of European and Comparative Law";journal;"1023263X, 23995548";0,250;Q2;19;61;138;0;87;119;0,72;0,00;United Kingdom;Western Europe;"SAGE Publications Ltd";"1994-2021";"Law (Q2); Political Science and International Relations (Q2)"
343;21100840720;"Transactions on Maritime Science";journal;"18483305, 18483313";0,249;Q2;6;47;84;1264;72;76;0,87;26,89;Croatia;Eastern Europe;"Faculty of Maritime Studies";"2017-2021";"Law (Q2); Automotive Engineering (Q3); Ocean Engineering (Q3); Transportation (Q3); Water Science and Technology (Q3)"
344;20000195069;"Trends and Issues in Crime and Criminal Justice";trade journal;"18362206, 08178542";0,248;Q2;16;14;74;533;77;74;1,32;38,07;Australia;Pacific Region;"Australian Institute of Criminology";"2011-2021";"Law (Q2)"
345;19700202605;"Law and Ethics of Human Rights";journal;"19382545";0,247;Q2;13;9;31;1105;18;31;0,55;122,78;Germany;Western Europe;"Walter de Gruyter GmbH";"2010-2021";"Law (Q2); Sociology and Political Science (Q3)"
346;17100154726;"Middle East Law and Governance";journal;"18763367, 18763375";0,247;Q2;13;30;43;1311;29;41;0,60;43,70;Netherlands;Western Europe;"Brill Academic Publishers";"2009-2021";"Arts and Humanities (miscellaneous) (Q2); Law (Q2); Sociology and Political Science (Q3)"
347;21100894876;"State Crime Journal";journal;"20466056";0,247;Q2;4;19;33;1359;28;32;0,60;71,53;United Kingdom;Western Europe;"Pluto Journals";"2018-2021";"Law (Q2); Management, Monitoring, Policy and Law (Q3)"
348;21100210921;"Central European Journal of Public Policy";journal;"18024866";0,246;Q2;10;9;26;524;34;26;1,50;58,22;Czech Republic;Eastern Europe;"Faculty of Sociel Sciences, Charles Universtiy";"2012-2021";"Law (Q2); Public Administration (Q3); Sociology and Political Science (Q3)"
349;21100828958;"Capital Markets Law Journal";journal;"17507227, 17507219";0,245;Q2;9;23;87;863;20;78;0,25;37,52;United Kingdom;Western Europe;"Oxford University Press";"2006, 2014-2021";"Law (Q2); Finance (Q3)"
350;21100922988;"Antitrust Bulletin";journal;"19307969, 0003603X";0,244;Q2;21;35;87;0;36;86;0,52;0,00;United States;Northern America;"SAGE Publications Inc.";"1996-2021";"Law (Q2); Economics and Econometrics (Q3)"
351;5700163881;"Contemporary Justice Review: Issues in Criminal, Social, and Restorative Justice";journal;"10282580";0,244;Q2;16;28;86;1586;68;75;0,54;56,64;United Kingdom;Western Europe;"Routledge";"2010-2021";"Law (Q2)"
352;4700153002;"International Journal of Law, Policy and the Family";journal;"13609939";0,242;Q2;24;24;56;1781;38;56;0,74;74,21;United States;Northern America;"Oxford University Press";"1996-1997, 2002, 2004-2021";"Law (Q2); Sociology and Political Science (Q3)"
353;19700170105;"Problems and Perspectives in Management";journal;"17277051, 18105467";0,242;Q2;23;169;479;7763;654;479;1,39;45,93;Ukraine;Eastern Europe;"Business Perspectives";"2003-2021";"Law (Q2); Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3); Information Systems and Management (Q3); Public Administration (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3); Strategy and Management (Q3)"
354;21100902663;"Revista Brasileira de Direito Processual Penal";journal;"23593881, 2525510X";0,242;Q2;3;63;142;3409;22;142;0,14;54,11;Brazil;Latin America;"";"2018-2021";"Anthropology (Q2); Law (Q2); Safety Research (Q3); Sociology and Political Science (Q3); Psychiatry and Mental Health (Q4)"
355;21100857559;"BRICS Law Journal";journal;"24122343, 24099058";0,241;Q2;4;29;83;415;33;70;0,31;14,31;Russian Federation;Eastern Europe;"University of Tyumen";"2017-2021";"Law (Q2)"
356;21100945159;"Journal of Law, Finance, and Accounting";journal;"23805013, 23805005";0,241;Q2;5;9;25;459;15;25;0,53;51,00;United States;Northern America;"Now Publishers Inc";"2016-2021";"Law (Q2); Finance (Q3); Accounting (Q4)"
357;5600152881;"Human Affairs";journal;"12103055, 1337401X";0,240;Q2;15;44;136;1251;86;128;0,69;28,43;Germany;Western Europe;"Walter de Gruyter GmbH";"2001, 2007-2021";"Law (Q2); Philosophy (Q2); Sociology and Political Science (Q3)"
358;21100837350;"Domes : digest of Middle East studies";journal;"10604367, 19493606";0,239;Q2;11;25;45;1113;33;41;0,97;44,52;United States;Northern America;"John Wiley &amp; Sons Inc.";"1992-2021";"Cultural Studies (Q1); History (Q1); Religious Studies (Q1); Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q3)"
359;21100455574;"Russian Law Journal";journal;"23123605, 23098678";0,239;Q2;6;25;76;524;28;66;0,37;20,96;Russian Federation;Eastern Europe;"Supporting Academic Initiatives Foundation";"2013-2021";"Law (Q2)"
360;17300154836;"Grotiana";journal;"01673831, 18760759";0,238;Q2;9;17;33;1120;6;33;0,14;65,88;Netherlands;Western Europe;"Brill Academic Publishers";"1980-1982, 1984-1987, 1989-1991, 1993, 1997-1998, 2007-2010, 2012-2021";"History (Q1); Law (Q2)"
361;15685;"Iowa Law Review";journal;"00210552";0,238;Q2;36;57;170;5618;90;170;0,47;98,56;United States;Northern America;"University of Iowa";"1976, 1979-1980, 1982, 1985, 1987, 1989-1992, 1995-2021";"Law (Q2)"
362;21100441452;"Journal of Strategic Security";journal;"19440472, 19440464";0,238;Q2;10;25;72;1014;59;72;0,87;40,56;United States;Northern America;"Henley-Putnam University Press";"2014-2021";"Law (Q2); Political Science and International Relations (Q2); Safety Research (Q3); Sociology and Political Science (Q3)"
363;21100832753;"European Business Law Review";journal;"1875841X, 09596941";0,236;Q2;4;36;118;3499;37;114;0,38;97,19;United Kingdom;Western Europe;"Wolters Kluwer (UK) Ltd.";"2017-2021";"Law (Q2)"
364;13220;"European Journal of Health Law";journal;"09290273, 15718093";0,236;Q2;22;40;90;890;49;83;0,44;22,25;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"1994-2021";"Law (Q2); Health Policy (Q3)"
365;21100896486;"International Journal of E-Entrepreneurship and Innovation";journal;"19478585, 19478593";0,236;Q2;4;9;26;552;38;26;1,42;61,33;United States;Northern America;"IGI Global Publishing";"2018-2021";"Law (Q2); Business and International Management (Q3); Management Information Systems (Q3); Management of Technology and Innovation (Q3)"
366;21100244950;"Rassegna Italiana di Criminologia";journal;"11211717, 22408053";0,235;Q2;9;27;104;1609;61;102;0,63;59,59;Italy;Western Europe;"Giuffre Editore SpA";"2013-2021";"Law (Q2)"
367;21100933893;"Family Court Review";journal;"15312445, 17441617";0,234;Q2;5;67;134;948;73;117;0,54;14,15;United States;Northern America;"John Wiley &amp; Sons Inc.";"2019-2021";"Law (Q2)"
368;5800170538;"Journal of the History of International Law";journal;"1388199X, 15718050";0,234;Q2;10;12;69;534;28;69;0,43;44,50;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"2007-2021";"History (Q1); Law (Q2); Political Science and International Relations (Q2)"
369;12687;"American Journal of Legal History";journal;"00029319, 2161797X";0,231;Q2;12;4;38;415;17;36;0,19;103,75;United States;Northern America;"Oxford University Press";"1976, 1985, 1987, 1995-1999, 2004-2008, 2011-2021";"History (Q1); Law (Q2)"
370;145539;"International Journal for the Semiotics of Law";journal;"09528059";0,231;Q2;15;104;165;5392;83;156;0,60;51,85;Netherlands;Western Europe;"Springer Netherlands";"1988-2002, 2004-2021";"Law (Q2); Linguistics and Language (Q2)"
371;21100865930;"Air and Space Law";journal;"09273379, 18758339";0,230;Q2;3;44;101;2746;35;99;0,44;62,41;Netherlands;Western Europe;"Kluwer Law International";"2018-2021";"Law (Q2)"
372;7200153135;"Forensische Psychiatrie, Psychologie, Kriminologie";journal;"18627072, 18627080";0,230;Q2;15;44;154;1338;86;121;0,71;30,41;Germany;Western Europe;"Springer Verlag";"2007-2021";"Law (Q2); Applied Psychology (Q4); Psychiatry and Mental Health (Q4)"
373;21100915687;"Revista Catalana de Dret Public";journal;"18858252";0,230;Q2;4;27;89;1423;27;83;0,30;52,70;Spain;Western Europe;"Public Administration School of Catalonia";"2019-2021";"Law (Q2); Public Administration (Q3)"
374;21100384222;"Egyptian Journal of Forensic Sciences";journal;"20905939, 2090536X";0,229;Q2;20;44;175;1499;160;166;0,89;34,07;Switzerland;Western Europe;"Springer International Publishing AG";"2011-2021";"Law (Q2); Health (social science) (Q3); Pathology and Forensic Medicine (Q3)"
375;21100255068;"Masaryk University Journal of Law and Technology";journal;"18025951, 18025943";0,228;Q2;5;12;37;536;29;37;0,76;44,67;Czech Republic;Eastern Europe;"Faculty of Law, Masaryk University";"2013-2021";"Law (Q2); Library and Information Sciences (Q3); Computer Science Applications (Q4)"
376;21100773741;"Journal of Policing, Intelligence and Counter Terrorism";journal;"18335330, 21595364";0,227;Q2;12;26;55;1533;84;53;1,44;58,96;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2013, 2016-2021";"Law (Q2); Political Science and International Relations (Q3)"
377;21100224008;"Croatian Yearbook of European Law and Policy";journal;"18455662";0,226;Q2;5;11;37;1416;13;36;0,31;128,73;Croatia;Eastern Europe;"Faculty of Law, University of Zagreb";"2012-2020";"Law (Q2)"
378;19700182652;"Journal of Tort Law";journal;"19329148";0,225;Q2;7;11;47;266;13;42;0,11;24,18;Germany;Western Europe;"Walter de Gruyter GmbH";"2010-2021";"Law (Q2)"
379;21100228053;"Law and Development Review";journal;"19433867";0,224;Q2;8;29;78;1946;34;75;0,43;67,10;Germany;Western Europe;"Walter de Gruyter GmbH";"2012-2021";"Law (Q2); Development (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3)"
380;21100840020;"Perspectives on Terrorism";journal;"23343745";0,224;Q2;12;94;196;4355;225;167;1,03;46,33;United States;Northern America;"";"2017-2021";"Law (Q2); Political Science and International Relations (Q3); Safety Research (Q3)"
381;21100967508;"Santander Art and Culture Law Review";journal;"2450050X, 23917997";0,224;Q2;5;25;87;1052;18;73;0,18;42,08;Poland;Eastern Europe;"Jagiellonian University Press";"2015-2020";"Visual Arts and Performing Arts (Q1); Conservation (Q2); Cultural Studies (Q2); Law (Q2)"
